Run	Individual	Sample	Layer
SRR2815952	DS1_H1	DS1_H1_01	L1
SRR2815954	DS1_H1	DS1_H1_03	L2
SRR2815957	DS1_H1	DS1_H1_06	L3
SRR2815958	DS1_H1	DS1_H1_07	L4
SRR2815961	DS1_H1	DS1_H1_10	L5
SRR2815964	DS1_H1	DS1_H1_13	L6
SRR2815969	DS1_H1	DS1_H1_18	WM
SRR2815970	DS1_H2	DS1_H2_01	L1
SRR2815971	DS1_H2	DS1_H2_02	L2
SRR2815975	DS1_H2	DS1_H2_06	L3
SRR2815977	DS1_H2	DS1_H2_08	L4
SRR2815980	DS1_H2	DS1_H2_11	L5
SRR2815983	DS1_H2	DS1_H2_14	L6
SRR2815987	DS1_H2	DS1_H2_18	WM
SRR2815989	DS1_H3	DS1_H3_02	L2
SRR2815992	DS1_H3	DS1_H3_05	L3
SRR2815993	DS1_H3	DS1_H3_06	L4
SRR2815997	DS1_H3	DS1_H3_10	L5
SRR2816000	DS1_H3	DS1_H3_13	L6
SRR2816005	DS1_H3	DS1_H3_18	WM
SRR2816008	DS1_H4	DS1_H4_03	L3
SRR2816011	DS1_H4	DS1_H4_06	L4
SRR2816014	DS1_H4	DS1_H4_09	L5
SRR2816017	DS1_H4	DS1_H4_12	L6
SRR2816023	DS1_H4	DS1_H4_18	WM
